STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
3590,LALBAGH TANK,TANK,KARNATAKA,21.0,34.0,4.0,13.5,6.5,8.2,380.0,701.0,3.0,10.0,0.45,4.79
3594,SANKEY TANK,TANK,KARNATAKA,25.0,28.0,5.0,7.5,6.6,8.2,411.0,684.0,3.0,10.0,0.5,3.0
3595,BYRASANDRA TANK,TANK,KARNATAKA,28.0,36.0,4.6,9.3,6.7,7.5,430.0,687.0,3.0,15.0,0.8,16.0
3597,HESARAGHATTA TANK,TANK,KARNATAKA,24.0,28.0,4.5,7.1,6.9,8.0,109.0,1791.0,3.0,6.0,0.2,4.14
3598,HEROHALLI TANK,TANK,KARNATAKA,25.0,28.0,2.2,7.3,6.7,8.0,390.0,1267.0,3.0,4.0,1.0,3.99
3599,MADAVARA TANK,TANK,KARNATAKA,25.0,29.0,0.7,12.5,6.8,8.7,448.0,1610.0,3.0,150.0,1.0,9.0
3600,SHIVAPURA TANK,TANK,KARNATAKA,25.0,34.0,0.4,7.0,6.7,7.7,1442.0,4950.0,5.0,125.0,2.02,13.0
3603,VENGAIHNAKERE,TANK,KARNATAKA,27.0,33.0,3.7,6.4,7.0,7.6,648.0,1795.0,4.0,32.0,1.2,11.4
3604,DODDANAKUNDI TANK,TANK,KARNATAKA,25.0,29.0,3.5,5.8,6.5,8.2,648.0,3340.0,3.0,29.0,0.9,4.15
3605,YELLAMALLAPPA TANK,TANK,KARNATAKA,26.0,32.0,3.9,4.6,6.8,7.6,641.0,2180.0,4.0,18.0,1.3,12.0
3606,DASARAHALLI TANK,TANK,KARNATAKA,25.0,29.0,3.5,14.6,6.7,9.0,304.0,1427.0,3.0,18.0,0.0,2.13
3619,BEGUR TANK,TANK,KARNATAKA,25.2,29.0,4.5,9.0,6.8,7.7,575.0,1550.0,2.0,45.0,0.68,2.5
3626,NAGAVARA TANK,TANK,KARNATAKA,28.0,35.0,4.6,9.5,6.8,7.5,546.0,1481.0,3.0,8.0,0.2,8.29
3629,ALLASANDRA TANK,TANK,KARNATAKA,20.0,30.0,3.2,10.4,5.9,9.0,538.0,1557.0,3.0,30.0,0.1,11.42
3630,YELAHANKA TANK,TANK,KARNATAKA,28.0,32.0,2.4,9.8,5.9,9.7,724.0,1299.0,4.0,23.0,0.76,7.0
3632,VEERAPURA TANK,TANK,KARNATAKA,22.0,28.0,5.0,8.0,6.6,8.0,369.0,1965.0,3.0,11.0,0.0,2.01
3634,DEVARAKERE TANK,TANK,KARNATAKA,25.2,34.8,4.0,9.2,6.6,8.0,339.0,778.0,3.0,80.0,0.46,5.24
3635,MALATHAHALLI TANK,TANK,KARNATAKA,24.8,33.0,0.2,7.2,6.9,8.2,1147.0,2340.0,3.0,32.0,2.2,10.78
3637,BYRAMANGALA TANK,TANK,KARNATAKA,23.8,31.0,0.5,7.4,6.7,8.3,562.0,1747.0,3.6,20.0,0.0,19.4
3638,ANNAYAPPA TANK,TANK,KARNATAKA,23.0,26.0,4.1,8.2,7.1,7.6,252.0,317.0,3.0,4.0,0.59,1.58
3639,KENGERI TANK,TANK,KARNATAKA,34.7,34.7,0.6,0.6,6.8,6.8,3030.0,3030.0,120.0,120.0,6.0,6.0
3640,UTTARAHALLI  DORAIKERE,TANK,KARNATAKA,23.8,34.7,2.6,9.2,6.5,8.8,286.0,1318.0,3.0,138.0,0.6,5.7
3641,DHOREKERE,TANK,KARNATAKA,24.6,34.5,2.2,12.6,6.5,9.3,461.0,886.0,4.0,54.0,1.05,6.3
3643,BEENNIGANAHALLI TANK,TANK,KARNATAKA,24.0,29.0,3.1,5.1,6.6,7.7,771.0,3200.0,3.0,54.0,1.0,7.0
3648,MYDALA,TANK,KARNATAKA,22.0,32.0,4.6,7.8,7.2,8.1,255.0,524.0,3.0,5.0,0.28,4.5
3650,MELEKOTE,TANK,KARNATAKA,24.0,31.0,0.8,6.4,7.0,8.2,804.0,2380.0,3.0,54.0,0.33,19.6
3651,BHEEMSANDRA TANK,TANK,KARNATAKA,24.0,31.0,1.8,5.6,6.8,7.7,728.0,2290.0,3.0,93.0,2.1,19.78
3653,DODDAKERE TANK,TANK,KARNATAKA,24.0,33.0,4.7,7.5,6.6,7.7,195.0,690.0,3.0,5.0,0.0,4.0
3654,GOTTIGERE LAKE,TANK,KARNATAKA,24.0,34.0,2.1,7.4,6.6,7.7,365.0,5510.0,3.0,58.0,0.27,8.0
3659,MATHANA KERE,TANK,KARNATAKA,24.0,30.0,6.7,10.2,7.9,9.2,10.0,1300.0,3.0,6.0,0.2,0.6
